state,nces_id,district,students
MS,2800450,AMORY SCHOOL DIST,22
MS,2801890,HOLLANDALE SCHOOL DIST,22
MS,2803090,NETTLETON SCHOOL DIST,22
MS,2803660,PONTOTOC CO SCHOOL DIST,22
TX,4827540,LINDEN-KILDARE CISD,22
TX,4836780,REFUGIO ISD,22
TX,4819980,FRIONA ISD,21
TX,4835490,POST ISD,21
TX,4836210,QUEEN CITY ISD,21
TX,4837800,ROOSEVELT ISD,21
AR,0500023,NEWPORT SCHOOL DISTRICT,20
AR,0503320,BLYTHEVILLE SCHOOL DISTRICT,20
MS,2802490,LAWRENCE CO SCHOOL DIST,20
OK,4003060,ANTLERS,20
OK,4014890,HOLLY CREEK,20
TN,4702640,Marion County,20
TX,4809280,BAIRD ISD,20
TX,4810170,BIG SANDY ISD,20
TX,4811220,BRECKENRIDGE ISD,20
TX,4817790,EARLY ISD,20
TX,4818750,EVADALE ISD,20
TX,4840320,SIMMS ISD,20
AR,0500020,MIDLAND SCHOOL DISTRICT,19
AR,0503630,BRINKLEY SCHOOL DISTRICT,19
AR,0507290,HARMONY GROVE SCHOOL DISTRICT,19
AR,0512520,SOUTH CONWAY COUNTY SCHOOL DISTRICT,19
GA,1300750,Calhoun County,19
GA,1304800,Taylor County,19
MS,2800360,ABERDEEN SCHOOL DIST,19
MO,2919350,WOODLAND R-IV,19
OK,4031020,VELMA-ALMA,19
AR,0510950,OSCEOLA SCHOOL DISTRICT,18
GA,1304350,Randolph County,18
GA,1305100,Treutlen County,18
GA,1305850,Worth County,18
MS,2802730,LOWNDES CO SCHOOL DIST,18
OK,4028200,SPIRO,18
TN,4700960,Decatur County,18
TX,4808610,ARCHER CITY ISD,18
TX,4835740,PRAIRILAND ISD,18
TX,4840230,SILSBEE ISD,18
AR,0500073,OUACHITA RIVER SCHOOL DISTRICT,17
AR,0506210,FORDYCE SCHOOL DISTRICT,17
AR,0509990,MOUNT IDA SCHOOL DISTRICT,17
TX,4808490,APPLE SPRINGS ISD,17
TX,4817010,DEWEYVILLE ISD,17
TX,4823400,HOLLIDAY ISD,17
TX,4828350,LOUISE ISD,17
TX,4838360,RUSK ISD,17
TX,4839960,SHELBYVILLE ISD,17
TX,4842090,TAHOKA ISD,17
AR,0500079,TWO RIVERS SCHOOL DISTRICT,16
AR,0503770,CADDO HILLS SCHOOL DISTRICT,16
AR,0503840,CALICO ROCK SCHOOL DISTRICT,16
AR,0505470,DREW CENTRAL SCHOOL DISTRICT,16
AR,0514040,WEST SIDE SCHOOL DISTRICT,16
AR,0514370,WONDERVIEW SCHOOL DISTRICT,16
MS,2802430,LAUDERDALE CO SCHOOL DIST,16
MO,2930520,TWIN RIVERS R-X,16
OK,4031290,VINITA,16
TN,4704500,White County,16
TX,4808100,ALVORD ISD,16
TX,4817040,DIBOLL ISD,16
TX,4834800,PEWITT CISD,16
TX,4838460,SABINE ISD,16
TX,4846470,WORTHAM ISD,16
AR,0508240,JASPER SCHOOL DISTRICT,15
AR,0509540,MAYFLOWER SCHOOL DISTRICT,15
AR,0509630,MCGEHEE SCHOOL DISTRICT,15
FL,1200720,HAMILTON,15
FL,1201140,LEVY,15
GA,1303240,Lanier County,15
MO,2909750,CLEARWATER R-I,15
OK,4032970,WISTER,15
TX,4808730,ARP ISD,15
TX,4816200,DALHART ISD,15
TX,4831170,MONAHANS-WICKETT-PYOTE ISD,15
TX,4833780,ORANGEFIELD ISD,15
TX,4843950,VAN VLECK ISD,15
AL,0102400,Monroe County,14
AR,0506630,GLEN ROSE SCHOOL DISTRICT,14
AR,0509240,MALVERN SCHOOL DISTRICT,14
GA,1300060,Appling County,14
GA,1302790,Heard County,14
GA,1304770,Tattnall County,14
GA,1304830,Telfair County,14
MO,2905250,BLOOMFIELD R-XIV,14
MO,2923640,MEADOW HEIGHTS R-II,14
OK,4013620,HAILEYVILLE,14
TX,4821630,GRAPELAND ISD,14
TX,4829280,MASON ISD,14
TX,4834630,PERRIN-WHITT CISD,14
AL,0100840,Colbert County,13
AL,0103270,Tarrant City,13
AR,0504410,CLINTON SCHOOL DISTRICT,13
AR,0505500,DUMAS SCHOOL DISTRICT,13
AR,0509420,MARKED TREE SCHOOL DISTRICT,13
AR,0511010,OZARK SCHOOL DISTRICT,13
FL,1200750,HARDEE,13
GA,1300810,Candler County,13
MS,2800191,WEST POINT CONSOLIDATED SCHOOL DIST,13
OK,4012060,FOX,13
OK,4024630,POCOLA,13
TN,4701680,Hardin County,13
TX,4814580,COLLINSVILLE ISD,13
TX,4818120,EDGEWOOD ISD,13
TX,4822800,HAWLEY ISD,13
TX,4822970,HENDERSON ISD,13
TX,4826280,LA VEGA ISD,13
TX,4830420,MEXIA ISD,13
TX,4838280,RULE ISD,13
TX,4844160,VIDOR ISD,13
TX,4846260,WINTERS ISD,13
AL,0102040,Lawrence County,12
AL,0103300,Thomasville City,12
AR,0500419,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,12
AR,0507920,JESSIEVILLE SCHOOL DISTRICT,12
AR,0509780,MINERAL SPRINGS SCHOOL DIST.,12
AR,0510560,NORFORK SCHOOL DISTRICT,12
GA,1301770,Dodge County,12
MS,2803180,NEWTON MUNICIPAL SCHOOL DISTRICT,12
MS,2804380,UNION PUBLIC SCHOOL DIST,12
MO,2926370,RICHARDS R-V,12
OK,4015750,JENNINGS,12
TX,4811990,BUFFALO ISD,12
TX,4814600,COLMESNEIL ISD,12
TX,4831890,MULESHOE ISD,12
TX,4835570,BUSHLAND ISD,12
TX,4846740,ZAVALLA ISD,12
WA,5300008,Northwest Educational Service District 189,12
AL,0102940,Scottsboro City,11
AL,0103420,Tuscumbia City,11
AR,0508700,LAMAR SCHOOL DISTRICT,11
AR,0510290,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOL DISTRICT,11
AR,0514490,YELLVILLE-SUMMIT SCHOOL DIST.,11
GA,1300248,State Charter Schools II- Genesis Innovation Academy for Bo,11
GA,1301920,Early County,11
GA,1304470,Schley County,11
MS,2800840,BROOKHAVEN SCHOOL DIST,11
OK,4012690,GLENCOE,11
OK,4014730,HODGEN,11
OK,4025470,CANEY VALLEY,11
TN,4701470,Greene County,11
TN,4702340,Lawrence County,11
TX,4812150,BURKEVILLE ISD,11
TX,4814490,COAHOMA ISD,11
TX,4817280,DODD CITY ISD,11
TX,4819620,FORSAN ISD,11
TX,4822770,HAWKINS ISD,11
TX,4824260,IOWA PARK CISD,11
TX,4825320,KEMP ISD,11
TX,4825560,KERMIT ISD,11
TX,4829460,MAUD ISD,11
TX,4829880,MCLEAN ISD,11
TX,4834710,PETROLIA CISD,11
TX,4837500,ROCHELLE ISD,11
AL,0100120,Athens City,10
AL,0101350,Escambia County,10
AL,0103510,Wilcox County,10
AR,0503450,BOONEVILLE SCHOOL DISTRICT,10
AR,0503710,BUFFALO IS. CENTRAL SCH. DIST.,10
AR,0512180,SCRANTON SCHOOL DISTRICT,10
GA,1305490,Washington County,10
MS,2802790,MADISON CO SCHOOL DIST,10
MO,2906170,BUNKER R-III,10
MO,2910140,COOTER R-IV,10
OK,4006480,CANTON,10
OK,4010350,DURANT,10
OK,4011700,FLETCHER,10
OK,4015120,HOWE,10
OK,4019410,MCCURTAIN,10
OK,4033601,ROCK CREEK,10
TN,4702820,McMinn County,10
TX,4811520,BROOKELAND ISD,10
TX,4812510,CALLISBURG ISD,10
TX,4814920,COMSTOCK ISD,10
TX,4824210,INGRAM ISD,10
TX,4825470,KENNARD ISD,10
TX,4828020,LONE OAK ISD,10
TX,4835430,PORT NECHES-GROVES ISD,10
TX,4837900,ROSEBUD-LOTT ISD,10
TX,4842240,TATUM ISD,10
TX,4844940,WELLS ISD,10
TX,4845150,WEST RUSK COUNTY CONSOLIDATED ISD,10
AR,0502790,BAUXITE SCHOOL DISTRICT,9
AR,0504980,DECATUR SCHOOL DISTRICT,9
AR,0505430,DOVER SCHOOL DISTRICT,9
GA,1303840,Murray County,9
MS,2801830,HAZLEHURST CITY SCHOOL DISTRICT,9
